,Company Name,CAM,CCR,Company Name 2,Ticker Symbol,mcap,pe,eps,donations,raid/court cases,contracts,de
0,AJANTA PHARMA LTD,62.0,98,ajanta pharma,AJANTPHARM,297970031700.0,36.48,64.77,2.0,0.0,0.0,0.1
1,ALKEM LABORATORIES LTD,86.0,97,alkem laboratories,ALKEM,38733478.0,36.4,132.57,1.0,2.0,0.0,0.15
2,THE ANUP ENGINEERING LTD,53.0,62,the anup engineering,ANUP,38936973314.0,49.59,39.52,1.0,0.0,0.0,0.08
3,APOLLO TYRES LTD,91.0,70,apollo tyres,APOLLOTYRE,305228266200.0,17.61,27.35,1.0,0.0,0.0,0.5
4,ARVIND LTD,68.0,67,arvind,ARVIND,94701154800.0,28.29,12.8,1.0,0.0,0.0,0.41
5,AUROBINDO PHARMA LTD,86.0,88,aurobindo pharma,AUROPHARMA,662813715709.0,23.94,47.25,1.0,0.0,0.0,0.24
6,BAJAJ AUTO LTD,79.0,99,bajaj auto,BAJAJ-AUTO,2443101554700.0,31.69,276.1,3.0,0.0,0.0,0.06
7,BAJAJ FINANCE LTD,8.0,48,bajaj finance,BAJFINANCE,4202608723205.0,28.84,235.98,1.0,0.0,2.0,3.04
8,BAJAJ HOLDINGS & INVESTMENT LTD,,-,bajaj holdings & investment,BAJAJHLDNG,930970127500.0,12.81,653.0,1.0,0.0,0.0,0.01
9,BALRAMPUR CHINI MILLS LTD,61.0,57,balrampur chini mills,BALRAMCHIN,76937186336.0,13.24,28.82,1.0,0.0,0.0,0.65
10,BEST AGROLIFE LTD,,10,best agrolife,NSE:BESTAGRO,14760000000.0,8.79,16.83,1.0,1.0,0.0,1.08
11,BHARTI AIRTEL LTD,76.0,61,bharti airtel,BHARTIARTL,7652085220440.0,88.77,14.49,5.0,2.0,0.0,2.76
12,CAPACITE INFRAPROJECTS LTD,74.0,15,capacite infraprojects,CAPACITE,24606940169.0,23.06,12.56,2.0,1.0,0.0,0.35
13,CEAT LTD,75.0,58,ceat,CEATLTD,96108702937.0,14.92,158.87,1.0,0.0,0.0,0.44
