Company Name,Headquarters
GRASIM INDUSTRIES,Maharashtra
PIRAMAL ENTERPRISES,Maharashtra
VARDHMAN TEXTILES,Punjab
MUTHOOT FINANCE,Kerala
VEDANTA,Maharashtra
APOLLO TYRES,Haryana
BAJAJ AUTO,Maharashtra
BAJAJ FINANCE,Maharashtra
BAJAJ HOLDINGS & INVESTMENT,Maharashtra
FINOLEX CABLES,Maharashtra
RADICO KHAITAN,Uttar Pradesh
GHCL,Uttar Pradesh
INDIA GLYCOLS,Uttar Pradesh
JINDAL POLY FILMS,Rajasthan
TORRENT PHARMACEUTICALS,Gujarat
ZENSAR TECHNOLOGIES,Maharashtra
CEAT,Maharashtra
DR.REDDY'S LABORATORIES,Telangana
ITC,West Bengal
SHREE CEMENT,West Bengal
KEC INTERNATIONAL,Maharashtra
LUMAX INDUSTRIES,Delhi
WELSPUN CORP,Maharashtra
CIPLA,Maharashtra
NATCO PHARMA,Telangana
JAY USHIN,Haryana
NCC,Telangana
UPL,Maharashtra
JINDAL,New Delhi
KRBL,Uttar Pradesh
TECH MAHINDRA,Maharashtra
SPICEJET,Haryana
AUROBINDO PHARMA,Telangana
BHARTI AIRTEL,New Delhi
GOODLUCK INDIA,New Delhi
JK LAKSHMI CEMENT,Uttar Pradesh
J.K.CEMENT,Uttar Pradesh
IFB AGRO INDUSTRIES,West Bengal
DALMIA BHARAT SUGAR AND INDUSTRIES,New Delhi
TORRENT POWER,Gujarat
BALRAMPUR CHINI MILLS,West Bengal
JINDAL STAINLESS,New Delhi
PCBL,Telangana
NUVOCO VISTAS CORPORATION,Maharashtra
HERO MOTOCORP,New Delhi
AJANTA PHARMA,Maharashtra
THE RAMCO CEMENTS,Tamil Nadu
MARUTI SUZUKI INDIA,New Delhi
ARVIND,Gujarat
IPCA LABORATORIES,Maharashtra
THE ANUP ENGINEERING,West Bengal
GLENMARK PHARMACEUTICALS,Maharashtra
MANKIND PHARMA,New Delhi
ALKEM LABORATORIES,Maharashtra
PIRAMAL PHARMA,Maharashtra
RMC SWITCHGEARS,Uttar Pradesh
ANGEL FIBERS,Rajasthan
BEST AGROLIFE,Telangana
DCM SHRIRAM,New Delhi
LUPIN,Maharashtra
MAHINDRA & MAHINDRA,Maharashtra
MARAL OVERSEAS,New Delhi
CAPACITE INFRAPROJECTS,Maharashtra
WPIL,West Bengal
KALPATARU PROJECTS INTERNATIONAL,Maharashtra
R R KABEL,Maharashtra
KITEX GARMENTS,Kerala
KNR CONSTRUCTIONS,Telangana
RPSG VENTURES,West Bengal
INTERGLOBE AVIATION,Haryana
TRIDENT,Punjab
NORTHERN SPIRITS,New Delhi
CYIENT,Telangana
JK PAPER,New Delhi
WELSPUN LIVING,Maharashtra
TVS MOTOR COMPANY,Tamil Nadu
DLF,New Delhi
ITC LIMITED,West Bengal
PVRINOX,Maharashtra
